game_title,case_group,date,youtube_video_count,youtube_view_count,twitch_vod_count,twitch_view_count,daily_review_count,cumulative_review_count,current_players,peak_players_24h,reported_downloads,reported_revenue,reported_platform,report_source_url,report_source_type
Suika Game,suika_multiplatform,2023-10-05,0,0,0,0,,,,,1000000.0,,Nintendo Switch,https://example.com/suika-1m,official_announcement
Suika Game,suika_multiplatform,2024-01-10,0,0,0,0,,,,,,5000000.0,iOS,https://example.com/suika-ios-estimate,mobile_revenue_estimate
Suika Game,suika_multiplatform,2024-01-12,1,250000,0,0,,,,,,,,,
Suika Game,suika_multiplatform,2024-01-13,0,0,1,15000,,,,,,,,,
The Closing Shift,chillas_art,2024-01-18,1,95000,0,0,,,,,,,,,
The Closing Shift,chillas_art,2024-01-19,0,0,1,4100,,,,,,,,,
The Closing Shift,chillas_art,2025-08-01,0,0,0,0,1.0,1.0,,,,,,,
The Closing Shift,chillas_art,2025-08-02,0,0,0,0,0.0,1.0,,,,,,,
The Closing Shift,chillas_art,2025-08-03,0,0,0,0,2.0,3.0,,,,,,,
The Closing Shift,chillas_art,2025-08-04,0,0,0,0,1.0,4.0,,,,,,,
The Closing Shift,chillas_art,2025-08-05,0,0,0,0,1.0,5.0,,,,,,,
The Closing Shift,chillas_art,2025-08-06,0,0,0,0,0.0,5.0,,,,,,,
The Closing Shift,chillas_art,2025-08-07,0,0,0,0,0.0,5.0,,,,,,,
The Closing Shift,chillas_art,2025-08-08,0,0,0,0,0.0,5.0,,,,,,,
The Closing Shift,chillas_art,2025-08-09,0,0,0,0,2.0,7.0,,,,,,,
The Closing Shift,chillas_art,2025-08-10,0,0,0,0,3.0,10.0,,,,,,,
The Closing Shift,chillas_art,2025-08-11,0,0,0,0,3.0,13.0,,,,,,,
The Closing Shift,chillas_art,2025-08-12,0,0,0,0,0.0,13.0,,,,,,,
The Closing Shift,chillas_art,2025-08-13,0,0,0,0,0.0,13.0,,,,,,,
The Closing Shift,chillas_art,2025-08-14,0,0,0,0,0.0,13.0,,,,,,,
The Closing Shift,chillas_art,2025-08-15,0,0,0,0,1.0,14.0,,,,,,,
The Closing Shift,chillas_art,2025-08-16,0,0,0,0,1.0,15.0,,,,,,,
The Closing Shift,chillas_art,2025-08-17,0,0,0,0,0.0,15.0,,,,,,,
The Closing Shift,chillas_art,2025-08-18,0,0,0,0,1.0,16.0,,,,,,,
The Closing Shift,chillas_art,2025-08-19,0,0,0,0,1.0,17.0,,,,,,,
The Closing Shift,chillas_art,2025-08-20,0,0,0,0,1.0,18.0,,,,,,,
The Closing Shift,chillas_art,2025-08-21,0,0,0,0,3.0,21.0,,,,,,,
The Closing Shift,chillas_art,2025-08-22,0,0,0,0,0.0,21.0,,,,,,,
The Closing Shift,chillas_art,2025-08-23,0,0,0,0,2.0,23.0,,,,,,,
The Closing Shift,chillas_art,2025-08-24,0,0,0,0,0.0,23.0,,,,,,,
The Closing Shift,chillas_art,2025-08-25,0,0,0,0,1.0,24.0,,,,,,,
The Closing Shift,chillas_art,2025-08-26,0,0,0,0,1.0,25.0,,,,,,,
The Closing Shift,chillas_art,2025-08-27,0,0,0,0,1.0,26.0,,,,,,,
The Closing Shift,chillas_art,2025-08-28,0,0,0,0,0.0,26.0,,,,,,,
The Closing Shift,chillas_art,2025-08-29,0,0,0,0,0.0,26.0,,,,,,,
The Closing Shift,chillas_art,2025-08-30,0,0,0,0,3.0,29.0,,,,,,,
The Closing Shift,chillas_art,2025-08-31,0,0,0,0,2.0,31.0,,,,,,,
The Closing Shift,chillas_art,2025-09-01,0,0,0,0,2.0,33.0,,,,,,,
The Closing Shift,chillas_art,2025-09-02,0,0,0,0,1.0,34.0,,,,,,,
The Closing Shift,chillas_art,2025-09-03,0,0,0,0,0.0,34.0,,,,,,,
The Closing Shift,chillas_art,2025-09-04,0,0,0,0,1.0,35.0,,,,,,,
The Closing Shift,chillas_art,2025-09-05,0,0,0,0,0.0,35.0,,,,,,,
The Closing Shift,chillas_art,2025-09-06,0,0,0,0,0.0,35.0,,,,,,,
The Closing Shift,chillas_art,2025-09-07,0,0,0,0,3.0,38.0,,,,,,,
The Closing Shift,chillas_art,2025-09-08,0,0,0,0,1.0,39.0,,,,,,,
The Closing Shift,chillas_art,2025-09-09,0,0,0,0,0.0,39.0,,,,,,,
The Closing Shift,chillas_art,2025-09-10,0,0,0,0,1.0,40.0,,,,,,,
The Closing Shift,chillas_art,2025-09-11,0,0,0,0,1.0,41.0,,,,,,,
The Closing Shift,chillas_art,2025-09-12,0,0,0,0,3.0,44.0,,,,,,,
The Closing Shift,chillas_art,2025-09-13,0,0,0,0,0.0,44.0,,,,,,,
The Closing Shift,chillas_art,2025-09-14,0,0,0,0,1.0,45.0,,,,,,,
The Closing Shift,chillas_art,2025-09-15,0,0,0,0,0.0,45.0,,,,,,,
The Closing Shift,chillas_art,2025-09-16,0,0,0,0,0.0,45.0,,,,,,,
The Closing Shift,chillas_art,2025-09-17,0,0,0,0,1.0,46.0,,,,,,,
The Closing Shift,chillas_art,2025-09-18,0,0,0,0,1.0,47.0,,,,,,,
The Closing Shift,chillas_art,2025-09-19,0,0,0,0,1.0,48.0,,,,,,,
The Closing Shift,chillas_art,2025-09-20,0,0,0,0,3.0,51.0,,,,,,,
The Closing Shift,chillas_art,2025-09-21,0,0,0,0,2.0,53.0,,,,,,,
The Closing Shift,chillas_art,2025-09-22,0,0,0,0,1.0,54.0,,,,,,,
The Closing Shift,chillas_art,2025-09-23,0,0,0,0,1.0,55.0,,,,,,,
The Closing Shift,chillas_art,2025-09-24,0,0,0,0,0.0,55.0,,,,,,,
The Closing Shift,chillas_art,2025-09-25,0,0,0,0,1.0,56.0,,,,,,,
The Closing Shift,chillas_art,2025-09-26,0,0,0,0,0.0,56.0,,,,,,,
The Closing Shift,chillas_art,2025-09-27,0,0,0,0,1.0,57.0,,,,,,,
The Closing Shift,chillas_art,2025-09-28,0,0,0,0,1.0,58.0,,,,,,,
The Closing Shift,chillas_art,2025-09-29,0,0,0,0,0.0,58.0,,,,,,,
The Closing Shift,chillas_art,2025-09-30,0,0,0,0,1.0,59.0,,,,,,,
The Closing Shift,chillas_art,2025-10-01,0,0,0,0,2.0,61.0,,,,,,,
The Closing Shift,chillas_art,2025-10-02,0,0,0,0,1.0,62.0,,,,,,,
The Closing Shift,chillas_art,2025-10-03,0,0,0,0,3.0,65.0,,,,,,,
The Closing Shift,chillas_art,2025-10-04,0,0,0,0,1.0,66.0,,,,,,,
The Closing Shift,chillas_art,2025-10-05,0,0,0,0,2.0,68.0,,,,,,,
The Closing Shift,chillas_art,2025-10-06,0,0,0,0,0.0,68.0,,,,,,,
The Closing Shift,chillas_art,2025-10-07,0,0,0,0,1.0,69.0,,,,,,,
The Closing Shift,chillas_art,2025-10-08,0,0,0,0,1.0,70.0,,,,,,,
The Closing Shift,chillas_art,2025-10-09,0,0,0,0,1.0,71.0,,,,,,,
The Closing Shift,chillas_art,2025-10-10,0,0,0,0,1.0,72.0,,,,,,,
The Closing Shift,chillas_art,2025-10-11,0,0,0,0,0.0,72.0,,,,,,,
The Closing Shift,chillas_art,2025-10-12,0,0,0,0,2.0,74.0,,,,,,,
The Closing Shift,chillas_art,2025-10-13,0,0,0,0,0.0,74.0,,,,,,,
The Closing Shift,chillas_art,2025-10-14,0,0,0,0,1.0,75.0,,,,,,,
The Closing Shift,chillas_art,2025-10-15,0,0,0,0,2.0,77.0,,,,,,,
The Closing Shift,chillas_art,2025-10-16,0,0,0,0,1.0,78.0,,,,,,,
The Closing Shift,chillas_art,2025-10-17,0,0,0,0,1.0,79.0,,,,,,,
The Closing Shift,chillas_art,2025-10-18,0,0,0,0,1.0,80.0,,,,,,,
The Closing Shift,chillas_art,2025-10-19,0,0,0,0,2.0,82.0,,,,,,,
The Closing Shift,chillas_art,2025-10-20,0,0,0,0,1.0,83.0,,,,,,,
The Closing Shift,chillas_art,2025-10-21,0,0,0,0,2.0,85.0,,,,,,,
The Closing Shift,chillas_art,2025-10-22,0,0,0,0,0.0,85.0,,,,,,,
The Closing Shift,chillas_art,2025-10-23,0,0,0,0,0.0,85.0,,,,,,,
The Closing Shift,chillas_art,2025-10-24,0,0,0,0,0.0,85.0,,,,,,,
The Closing Shift,chillas_art,2025-10-25,0,0,0,0,2.0,87.0,,,,,,,
The Closing Shift,chillas_art,2025-10-26,0,0,0,0,3.0,90.0,,,,,,,
The Closing Shift,chillas_art,2025-10-27,0,0,0,0,0.0,90.0,,,,,,,
The Closing Shift,chillas_art,2025-10-28,0,0,0,0,1.0,91.0,,,,,,,
The Closing Shift,chillas_art,2025-10-29,0,0,0,0,0.0,91.0,,,,,,,
The Closing Shift,chillas_art,2025-10-30,0,0,0,0,3.0,94.0,,,,,,,
The Closing Shift,chillas_art,2025-10-31,0,0,0,0,6.0,100.0,,,,,,,
The Closing Shift,chillas_art,2025-11-01,0,0,0,0,6.0,106.0,,,,,,,
The Closing Shift,chillas_art,2025-11-02,0,0,0,0,2.0,108.0,,,,,,,
The Closing Shift,chillas_art,2025-11-03,0,0,0,0,0.0,108.0,,,,,,,
The Closing Shift,chillas_art,2025-11-04,0,0,0,0,1.0,109.0,,,,,,,
The Closing Shift,chillas_art,2025-11-05,0,0,0,0,1.0,110.0,,,,,,,
The Closing Shift,chillas_art,2025-11-06,0,0,0,0,2.0,112.0,,,,,,,
The Closing Shift,chillas_art,2025-11-07,0,0,0,0,1.0,113.0,,,,,,,
The Closing Shift,chillas_art,2025-11-08,0,0,0,0,2.0,115.0,,,,,,,
The Closing Shift,chillas_art,2025-11-09,0,0,0,0,2.0,117.0,,,,,,,
The Closing Shift,chillas_art,2025-11-10,0,0,0,0,0.0,117.0,,,,,,,
The Closing Shift,chillas_art,2025-11-11,0,0,0,0,2.0,119.0,,,,,,,
The Closing Shift,chillas_art,2025-11-12,0,0,0,0,2.0,121.0,,,,,,,
The Closing Shift,chillas_art,2025-11-13,0,0,0,0,1.0,122.0,,,,,,,
The Closing Shift,chillas_art,2025-11-14,0,0,0,0,0.0,122.0,,,,,,,
The Closing Shift,chillas_art,2025-11-15,0,0,0,0,0.0,122.0,,,,,,,
The Closing Shift,chillas_art,2025-11-16,0,0,0,0,0.0,122.0,,,,,,,
The Closing Shift,chillas_art,2025-11-17,0,0,0,0,0.0,122.0,,,,,,,
The Closing Shift,chillas_art,2025-11-18,0,0,0,0,0.0,122.0,,,,,,,
The Closing Shift,chillas_art,2025-11-19,0,0,0,0,0.0,122.0,,,,,,,
The Closing Shift,chillas_art,2025-11-20,0,0,0,0,2.0,124.0,,,,,,,
The Closing Shift,chillas_art,2025-11-21,0,0,0,0,0.0,124.0,,,,,,,
