category,event_day,daily_review_count,period
anomaly_walk,-14,,event_day
anomaly_walk,-13,,event_day
anomaly_walk,-12,,event_day
anomaly_walk,-11,,event_day
anomaly_walk,-10,,event_day
anomaly_walk,-9,,event_day
anomaly_walk,-8,,event_day
anomaly_walk,-7,,event_day
anomaly_walk,-6,,event_day
anomaly_walk,-5,,event_day
anomaly_walk,-4,,event_day
anomaly_walk,-3,,event_day
anomaly_walk,-2,,event_day
anomaly_walk,-1,,event_day
anomaly_walk,0,,event_day
anomaly_walk,1,,event_day
anomaly_walk,2,,event_day
anomaly_walk,3,,event_day
anomaly_walk,4,,event_day
anomaly_walk,5,,event_day
anomaly_walk,6,,event_day
anomaly_walk,7,,event_day
anomaly_walk,8,,event_day
anomaly_walk,9,,event_day
anomaly_walk,10,,event_day
anomaly_walk,11,,event_day
anomaly_walk,12,,event_day
anomaly_walk,13,,event_day
anomaly_walk,14,,event_day
story_short,-14,,event_day
story_short,-13,,event_day
story_short,-12,,event_day
story_short,-11,,event_day
story_short,-10,,event_day
story_short,-9,,event_day
story_short,-8,,event_day
story_short,-7,,event_day
story_short,-6,,event_day
story_short,-5,,event_day
story_short,-4,,event_day
story_short,-3,,event_day
story_short,-2,,event_day
story_short,-1,,event_day
story_short,0,,event_day
story_short,1,,event_day
story_short,2,,event_day
story_short,3,,event_day
story_short,4,,event_day
story_short,5,,event_day
story_short,6,,event_day
story_short,7,,event_day
story_short,8,,event_day
story_short,9,,event_day
story_short,10,,event_day
story_short,11,,event_day
story_short,12,,event_day
story_short,13,,event_day
story_short,14,,event_day
anomaly_walk,,,pre
story_short,,,pre
anomaly_walk,,,post
story_short,,,post
