platform,channel_name,title,game_title,steam_appid,case_group,category,published_at,event_day,date,daily_review_count,cumulative_review_count,review_score_percent,current_players,peak_players_24h,view_count,url
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-14,2024-01-04,1,1,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-13,2024-01-05,1,2,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-12,2024-01-06,1,3,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-11,2024-01-07,1,4,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-10,2024-01-08,1,5,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-9,2024-01-09,1,6,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-8,2024-01-10,1,7,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-7,2024-01-11,1,8,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-6,2024-01-12,1,9,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-5,2024-01-13,1,10,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-4,2024-01-14,1,11,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-3,2024-01-15,1,12,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-2,2024-01-16,1,13,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,-1,2024-01-17,1,14,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,0,2024-01-18,2,16,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,1,2024-01-19,2,18,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,2,2024-01-20,1,19,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,3,2024-01-21,1,20,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,4,2024-01-22,1,21,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,5,2024-01-23,1,22,90,240,900,95000,https://youtube.com/watch?v=chilla001
youtube,HorrorCafe,The Closing Shift ending,The Closing Shift,1843090,chillas_art,story_short,2024-01-18,6,2024-01-24,1,23,90,240,900,95000,https://youtube.com/watch?v=chilla001
