steam_appid,game_title,review_created_date,daily_review_count,daily_positive_count,daily_negative_count,cumulative_review_count
2653790.0,The Exit 8,2024-01-01,1,1,0,1
2653790.0,The Exit 8,2024-01-02,1,1,0,2
2653790.0,The Exit 8,2024-01-03,1,0,1,3
2653790.0,The Exit 8,2024-01-04,1,1,0,4
2653790.0,The Exit 8,2024-01-05,1,1,0,5
2653790.0,The Exit 8,2024-01-06,1,1,0,6
2653790.0,The Exit 8,2024-01-07,1,0,1,7
2653790.0,The Exit 8,2024-01-08,1,1,0,8
2653790.0,The Exit 8,2024-01-09,1,1,0,9
2653790.0,The Exit 8,2024-01-10,1,1,0,10
2653790.0,The Exit 8,2024-01-11,1,1,0,11
2653790.0,The Exit 8,2024-01-12,1,0,1,12
2653790.0,The Exit 8,2024-01-13,1,1,0,13
2653790.0,The Exit 8,2024-01-14,1,1,0,14
2653790.0,The Exit 8,2024-01-15,2,2,0,16
2653790.0,The Exit 8,2024-01-16,2,1,1,18
2653790.0,The Exit 8,2024-01-17,1,1,0,19
2653790.0,The Exit 8,2024-01-18,1,1,0,20
2653790.0,The Exit 8,2024-01-19,1,0,1,21
2653790.0,The Exit 8,2024-01-20,1,1,0,22
2653790.0,The Exit 8,2024-01-21,1,1,0,23
2653790.0,The Exit 8,2024-01-22,1,1,0,24
2653790.0,The Exit 8,2024-01-23,1,0,1,25
2653790.0,The Exit 8,2024-01-24,1,1,0,26
2653790.0,The Exit 8,2024-01-25,1,1,0,27
2653790.0,The Exit 8,2024-01-26,1,1,0,28
2653790.0,The Exit 8,2024-01-27,1,1,0,29
2653790.0,The Exit 8,2024-01-28,1,1,0,30
2653790.0,The Exit 8,2024-01-29,1,0,1,31
2653790.0,The Exit 8,2024-01-30,1,1,0,32
1843090.0,The Closing Shift,2024-01-04,1,1,0,1
1843090.0,The Closing Shift,2024-01-05,1,1,0,2
1843090.0,The Closing Shift,2024-01-06,1,0,1,3
1843090.0,The Closing Shift,2024-01-07,1,1,0,4
1843090.0,The Closing Shift,2024-01-08,1,1,0,5
1843090.0,The Closing Shift,2024-01-09,1,1,0,6
1843090.0,The Closing Shift,2024-01-10,1,0,1,7
1843090.0,The Closing Shift,2024-01-11,1,1,0,8
1843090.0,The Closing Shift,2024-01-12,1,1,0,9
1843090.0,The Closing Shift,2024-01-13,1,1,0,10
1843090.0,The Closing Shift,2024-01-14,1,1,0,11
1843090.0,The Closing Shift,2024-01-15,1,0,1,12
1843090.0,The Closing Shift,2024-01-16,1,1,0,13
1843090.0,The Closing Shift,2024-01-17,1,1,0,14
1843090.0,The Closing Shift,2024-01-18,2,2,0,16
1843090.0,The Closing Shift,2024-01-19,2,1,1,18
1843090.0,The Closing Shift,2024-01-20,1,1,0,19
1843090.0,The Closing Shift,2024-01-21,1,1,0,20
1843090.0,The Closing Shift,2024-01-22,1,0,1,21
1843090.0,The Closing Shift,2024-01-23,1,1,0,22
1843090.0,The Closing Shift,2024-01-24,1,1,0,23
1843090.0,The Closing Shift,2024-01-25,1,1,0,24
1843090.0,The Closing Shift,2024-01-26,1,0,1,25
1843090.0,The Closing Shift,2024-01-27,1,1,0,26
1843090.0,The Closing Shift,2024-01-28,1,1,0,27
1843090.0,The Closing Shift,2024-01-29,1,1,0,28
1843090.0,The Closing Shift,2024-01-30,1,1,0,29
